945 1000
1 PZPEXHQAYIDXHBDA 0
1 JEKLAAZDJFFQMDUU 1
1 YTHNVZCMHIUDSPRI 2
1 OJUNCDCNGBOIZXWG 3
2 EYCPRSCHJPBKDZFO 4 475
1 QKGKJTVFASOJNFQR 5
2 MDVEWPLEHUKMXVJU 6 214
1 OMHUCULTSEMKOQDD 7
1 ENBAWYTUYVZRJQPW 8
2 NMJYLWRHLIQJPEPE 9 437
2 UWMFCHNKBNZRXCLP 10 599
1 GRGJAFBEMLQBKOZN 11
1 TTSFYZMFAZMFRFZH 12
1 GFGEZWLMXWTJTXPD 13
1 ALFUJEJMZIRAIXPX 14
1 AQDJCZKCSVBZUBLS 15
1 PQKSPLOVBUDUTSMX 16
1 MWQMZWYJZIJIHBPY 17
1 YOTKBRUOJGGHVTHY 18
1 QYGJHTEAWAZCGGDR 19
1 MJKUJPJJYOCZOPBH 20
1 CJDVTBPBVUZGPMGJ 21
1 CUDQHXEBJIMAUOST 22
1 FLVCRNYOOXBFKOLQ 23
1 QAKYOJBODCOGWIFY 24
1 QOGTFUHOLFYKHCMX 25
2 UAVRRVQBHRFBNBHK 26 369
1 KARMOQDOPHEPPQVL 27
1 SRFDAYVCEROARSYT 28
1 OCZJXQRUOECENSVF 29
1 USTFPFFGVUIAXVFM 30
1 PAYZEXPLSERIAWTO 31
1 KIWITAEDABLUKTQQ 32
1 JILZRFRFPIGZCXIA 33
1 JRGUMEGFFNFOQTDY 34
1 PMSABBQDBSKBFMSN 35
1 YATKNXKAMMAKDSSB 36
1 RKCOBXAOISTORPUS 37
1 PQQQXJIAMOKSFRPD 38
1 BJQSGWGPZJGGBHMR 39
1 SKAZMVJLGWJCUWIF 40
2 FRJYJXZXQUWTRZBL 41 577
1 OAJDPAPUWMODGNOL 42
1 RYOQHXNWSECOBKUC 43
1 TZSVOOVLFESSWTOU 44
1 WOQAOEEQYDNDXMPE 45
1 MCCJIHMOFUNNWUBD 46
1 CDRQGVDTVTTMCBEE 47
1 IWIQTPHKXGQUSKHL 48
1 RSCGGCNTULFOHQTH 49
1 GZEATSKGQVSOHSME 50
1 TMOBYRZIHPQCBVPD 51
2 OPHNBIPGJUHBDSSL 52 229
1 LYGIPJPDNKAIJLZW 53
1 SVGSEBUGUSMFUFXA 54
1 QWPVVKLZJNEIVDZN 55
1 MKGJVWLKGPUQRVCT 56
1 IZLASAXDZCKXJJSF 57
1 MMWBVJFCVJVHGWKU 58
1 SEERXEXRCYRONWOL 59
1 DZMUXQHPUIZQEVUT 60
1 QHBZPJPMEGPDLVRP 61
1 AVPUMYDFBOJWASPU 62
1 NVIQGWLIICVIVCVO 63
1 GFDSTSXFALQYTSSC 64
1 LIVFNKSELDMJJHGT 65
1 YSSLAJCLSCYPVFMG 66
1 BLKJWUZFFHGTZPWB 67
1 ATOVWTFVYBOILIZV 68
1 ITBEYPZJPSBGBARX 69
1 AVMCHLJZCUKJKTLD 70
1 HBOTEAMEUACCOKYL 71
1 OKVXEZYODJFPXHBR 72
1 QXPXLXSEOIMTYRXJ 73
1 XKAKBZDURQXZZMWG 74
1 YUTATMUIVTCJPFDZ 75
1 QXHBXZWSDPIZMPCZ 76
1 YTAXXVCOJHAAGHJV 77
1 VMMLEIQGLSSDVWHS 78
1 ZFEGJFKITWRCLAEU 79
1 DCHKNMTYXBICMSFP 80
1 HLLCZWWJJOURBRTE 81
1 FZZTJNGUPHDINLQI 82
1 ZGJWQBXYMSEQROUU 83
1 BLVHWNQIAJJZTUER 84
1 UGQVDRRSIVDNFYKN 85
1 VKKIIJUBSCTBPSZL 86
1 ZLJPXOHKOOHMGXPR 87
1 HPCTFFGNCSIVFPGA 88
1 AHLZFGLYOSIWEEQN 89
1 RSGUEEOEMPESGPDJ 90
1 ATUBXJEPGRZJEPPP 91
1 JVDJWRSKFHGANZDK 92
1 AGKZZSLTOWHDBSZS 93
1 RECAHKQSFRRNOSLQ 94
1 RIRSNDWDCZSFEEMW 95
1 GJJJCJOVJLOWSIDQ 96
2 FFTHDRSYZQGTIJIT 97 271
1 BZVNLIOHNCOOQEPS 98
1 PYKBPNQEVZHLMNRR 99
1 HVNHYSXISSUONNUS 100
1 CSYGJGFFLIOLNWBI 101
1 MJGFVLSTSGDISCQU 102
1 IOLSLDTQQBUECHXU 103
1 KJAKSYAUDHVSSEBI 104
1 YARKYTAQKUUDNTXT 105
1 SZLHMBIEKKYLTMKK 106
1 UJXADPFCRFIVSUKT 107
1 KFKOLDDOZNSVINNF 108
1 MNSKBYLDMZDMWOKZ 109
1 DQSYVZJKHJQEYGIA 110
1 KWXLBTTFGGNYESON 111
1 MCVPSXKPCIYMIBUH 112
1 JCRJMEYVDNAGAFKM 113
1 HAOYIHDLQFMLITVQ 114
1 DYFPIJCUHOWNXYKH 115
1 IDBFCGDJGXFWFURW 116
1 POVMZZQOVEPSFTVQ 117
1 GVUJPGQCOYXPNAJL 118
1 IJIAGRTSWAWGAAZN 119
1 PVUNXJGOLABZZWAH 120
1 ZUMPDQWOIGJLIAGW 121
1 DLMHTIBLCLHYMZCT 122
1 XZSMTUTGNCTQMLZZ 123
2 AKOQXOPBNHRHXAXZ 124 785
1 EQIXMJCTFHJGERLE 125
1 VVUMYNGMPZZLSTLC 126
1 FCKGCCUARBLQOBNY 127
1 CMVVDWSQLPUAZDST 128
1 DVUPCRBHKALCHPGP 129
2 GLEYENDKIJOYCUMY 130 861
1 QPSLWWBFNWIEWYQR 131
1 OSBTNKQRYPPGMATN 132
1 RUOCGHVVXVIBOXOA 133
1 ZGHBCXUWVRPGQYOF 134
1 VNHREIXBGUGKOROA 135
1 LHXMKJMCDHKEOAFM 136
1 MGGTSKASGQGPBOYR 137
2 MVEYUABEHCWWRLVK 138 747
2 PHZTYMZMMXOGXDGC 139 676
1 ZWBWADEIVMFSWQHZ 140
1 QINRVNRUMAKZRIDR 141
2 SWVIVUQSPWWLIVTH 142 965
1 GSSPULEBPLZOASDT 143
1 CMAMNBXLSEKNXART 144
2 ONSPKXJZPKSGFSXC 145 782
1 SJOBQUSDNKXBTJMK 146
1 EXPSFZTKBWYIFSZW 147
1 JFVPQWZKDOGWVMXJ 148
2 MKCRNMQLBMGTRZQU 149 384
1 RPZYQISCHPUEAIVT 150
1 MECPGPWAVYHTRQQX 151
1 XFDPJVETFUYRWWJT 152
1 BBIYTIENDARTIRYY 153
1 IKKXJSFEAKUXFPQB 154
1 CHSTFFFDEYGOSDUR 155
1 YEWHFSQCFIEWMHNA 156
1 ZIWZFJNEQQLFBRXK 157
2 VLHNXGYMTEONHDDS 158 788
1 SCUELVFZNTWXDCRP 159
1 MYYYCZCUZBPFTUPG 160
1 ELMBDLOVSSEIHPGS 161
1 OFMXHFKUERQRPRHX 162
1 IDHNIODJPBAENGVH 163
1 XLJBPQOAPOIELAIY 164
2 CUCINXCPJOFUTAFS 165 184
2 SSNGXKYUMCAVZJSD 166 637
1 TONGZPNXPFOXVJYJ 167
1 HKAQMHGLBNQVULNB 168
1 LGWXZFRQMULGNWFI 169
1 NMTIHANHENEKSLGG 170
1 NIYEBCZBBMVNAEKX 171
1 DIJCDNPGLYWZHSBL 172
1 ETXEYKSYDCGCRWIV 173
1 TWBUOHIPZDARNCES 174
1 IBQLNTCFIUJAWWPN 175
1 ORQAVMVQVVOFNBOL 176
1 OMFQKDBSHZAZXHTR 177
1 CGNVAHOQWRRSPFGY 178
2 IKNZUULKAGDTRWHI 179 589
1 XCVAWICASYNECQPE 180
1 SLLGVKTTIJDFTCAU 181
1 XLVBUTGTRDCRBLCM 182
2 XSHXJERPEZEPBBVP 183 441
1 EOYILYTWVMUEIARM 185
1 EILUHYRHDUYXSDSA 186
1 KHZYAAGQSAFBPGCV 187
1 JAWMFGIJROGEDZAC 188
2 YGTVHGGJYAENMMCR 189 408
2 EYSMKCJHXHMJJQNW 190 382
1 ODVSEZDRATZQKSEN 191
1 JASZFYWHQAJZPWER 192
1 YLJWGPDCKWTJGVOH 193
1 UPKKTUGZXZPIVKLH 194
1 KLOFKLPYGOYMWAPX 195
2 DOFNIOHHMNCPHSXD 196 464
1 SZTNOBMHXGEPWZOZ 197
1 DZNTKPSHUKBOAODN 198
2 YHXBHXEDUZYTPXLP 199 958
1 VXBMKNFETYUYURFM 200
1 NPVUSYPYKBRDGWTR 201
1 XJGAYFRAHKMHTKLB 202
